PID   COMMAND      %CPU TIME     #TH   #WQ  #PORT MEM    PURG   CMPRS  PGRP PPID STATE    BOOSTS            %CPU_ME %CPU_OTHRS UID  FAULTS   COW    MSGSENT    MSGRECV   SYSBSD    SYSMACH   CSW
7892  top          10.4 00:04.40 1/1   0    25    3808K  0B     0B     7892 7792 running  *0[1]             0.00000 0.00000    0    16574+   106    536449+    268168+   63315+    367984+   6078+
7879  com.apple.iC 0.0  00:00.09 2     1    56    3096K  0B     0B     7879 1    sleeping  0[1]             0.00000 0.00000    501  4331     206    301        91        1847      610       504
7870  bash         0.0  00:00.02 1     0    21    820K   0B     0B     7870 7869 sleeping *0[1]             0.00000 0.00000    501  1080     370    83         32        2460      161       216
7869  login        0.0  00:00.02 2     1    31    1088K  0B     0B     7869 7790 sleeping *0[9]             0.00000 0.00000    0    1741     182    122        30        1407      257       216
7867  Notes        0.0  00:02.23 6     1    292   35M    1096K  0B     7867 1    sleeping *0[36]            0.00000 0.00000    501  24320    805    10819+     3959+     21874+    19302+    14187+
7854  mdworker_sha 0.0  00:00.06 4     1    56    4204K  0B     0B     7854 1    sleeping *0[1]             0.00000 0.00000    501  5924     187    621        259       912       786       238
7849  QuickLookSat 0.0  00:00.04 2     1    46    2756K  0B     0B     7849 1    sleeping  0[1]             0.00000 0.00000    501  3546     175    166        48        717       369       264
7848  quicklookd   0.0  00:00.08 4     1    89    3260K  68K    0B     7848 1    sleeping  0[2]             0.00000 0.00000    501  4406     222    370        119       2718      817       735
7847  XCDocumenter 0.0  00:00.04 2     1    52    1436K  0B     0B     7847 1    sleeping  0[5]             0.00000 0.00000    501  3181     172    233        71        937       484       237
7846  XcodeBuiltIn 0.0  00:00.06 2     1    52    1896K  0B     0B     7846 1    sleeping  0[5]             0.00000 0.00000    501  3704     253    236        72        1099      493       312
7845  com.apple.dt 0.0  00:00.02 2     2    16    772K   0B     0B     7845 1    sleeping  0[2]             0.00000 0.00000    501  1535     127    93         32        435       209       126
7844  GPUToolsAgen 0.0  00:00.11 2     2    48    2424K  0B     0B     7844 7831 sleeping *0[1]             0.00000 0.00000    501  3385     252    282        114       1298      381       487
7843  com.apple.dt 0.0  00:00.25 2     1    50    8284K  0B     0B     7843 1    sleeping  0[2]             0.00000 0.00000    501  6052     1318   1207       49        7335      2006      2224
7841  GitLabHostBu 0.0  00:00.07 2     1    52    1964K  0B     0B     7841 1    sleeping  0[5]             0.00000 0.00000    501  3716     274    234        72        1195      501       434
7840  GitHubEnterp 0.0  00:00.08 2     1    52    1976K  0B     0B     7840 1    sleeping  0[3]             0.00000 0.00000    501  3719     274    234        73        1200      503       398
7839  BitbucketHos 0.0  00:00.07 2     1    52    1956K  0B     0B     7839 1    sleeping  0[3]             0.00000 0.00000    501  3714     275    231        73        1198      501       408
